subj_idx,species,coh,rt,response,subjectID
8,rat,0.8,0.837537,1,381
8,rat,0.9,0.907528,1,381
8,rat,0.9,0.777558,1,381
8,rat,1,0.637533,1,381
8,rat,0.7,0.687459,1,381
8,rat,0.9,0.93752,1,381
8,rat,0.9,0.707544,1,381
8,rat,0.8,0.777493,1,381
8,rat,0.6,0.807552,1,381
8,rat,0.8,0.957504,1,381
8,rat,0.9,0.757614,1,381
8,rat,0.9,0.837554,1,381
8,rat,0.7,0.577594,1,381
8,rat,0.8,0.637526,0,381
8,rat,0.7,0.537494,1,381
8,rat,0.6,0.677542,1,381
8,rat,0.9,0.897446,1,381
8,rat,0.7,1.027457,1,381
8,rat,1,0.647564,1,381
8,rat,1,0.767512,1,381
8,rat,0.8,1.42745,1,381
8,rat,0.8,1.14746,1,381
8,rat,0.6,1.557464,1,381
8,rat,0.6,0.677565,0,381
8,rat,0.9,0.767452,1,381
8,rat,0.7,0.647604,0,381
8,rat,0.8,0.477548,0,381
8,rat,0.9,0.777561,1,381
8,rat,0.8,0.777487,1,381
8,rat,0.6,0.787474,1,381
8,rat,0.8,1.28751,1,381
8,rat,0.6,1.327545,1,381
8,rat,0.7,0.717504,0,381
8,rat,0.7,0.997619,1,381
8,rat,0.6,0.997541,0,381
8,rat,0.7,0.837374,1,381
8,rat,0.6,0.617541,0,381
8,rat,0.9,0.607483,1,381
8,rat,0.9,0.797443,1,381
8,rat,1,0.74744,1,381
8,rat,0.7,1.107542,0,381
8,rat,0.8,0.657577,1,381
8,rat,0.6,0.677502,1,381
8,rat,0.8,0.767552,1,381
8,rat,0.9,0.637472,1,381
8,rat,0.9,0.877228,1,381
8,rat,0.8,0.887483,0,381
8,rat,0.8,0.857416,1,381
8,rat,0.6,1.057492,1,381
8,rat,0.7,0.637581,0,381
8,rat,0.9,0.607512,1,381
8,rat,0.9,0.6775,1,381
8,rat,0.6,0.667465,1,381
8,rat,0.7,0.637549,1,381
8,rat,0.6,0.767408,1,381
8,rat,0.9,1.837426,1,381
8,rat,1,0.897511,0,381
8,rat,0.6,0.727459,1,381
8,rat,0.7,0.7975,1,381
8,rat,0.7,0.997503,1,381
8,rat,1,1.267628,1,381
8,rat,0.9,0.977475,1,381
8,rat,0.8,1.08752,1,381
8,rat,1,0.717474,1,381
8,rat,0.8,0.637468,1,381
8,rat,0.7,0.687463,0,381
8,rat,0.8,0.627489,1,381
8,rat,1,1.217462,1,381
8,rat,0.6,0.59753,1,381
8,rat,0.7,0.617501,0,381
8,rat,0.9,0.52749,1,381
8,rat,0.7,0.897531,1,381
8,rat,0.8,1.297504,1,381
8,rat,0.6,1.227501,1,381
8,rat,0.8,0.607458,1,381
8,rat,0.7,0.717502,1,381
